"MTU (CET/CEST)","Area","Day-ahead (MW)","Intraday (MW)","Current (MW)","Actual (MW)"
"01/01/2025 00:00:00 - 01/01/2025 00:15:00","BZN|DE-LU","38289.70","35381.95","35381.95","32973.68"
"01/01/2025 00:15:00 - 01/01/2025 00:30:00","BZN|DE-LU","38511.97","35505.27","35505.27","32832.53"
"01/01/2025 00:30:00 - 01/01/2025 00:45:00","BZN|DE-LU","38706.47","35567.34","35567.34","32832.18"
"01/01/2025 00:45:00 - 01/01/2025 01:00:00","BZN|DE-LU","38869.75","35671.53","35671.53","32895.95"
"01/01/2025 01:00:00 - 01/01/2025 01:15:00","BZN|DE-LU","38917.29","35707.66","35707.66","33260.24"
"01/01/2025 01:15:00 - 01/01/2025 01:30:00","BZN|DE-LU","38983.06","36049.78","36049.78","33493.71"
"01/01/2025 01:30:00 - 01/01/2025 01:45:00","BZN|DE-LU","39093.74","36158.65","36158.65","33644.01"
"01/01/2025 01:45:00 - 01/01/2025 02:00:00","BZN|DE-LU","39230.54","36467.21","36467.21","33717.47"
"01/01/2025 02:00:00 - 01/01/2025 02:15:00","BZN|DE-LU","39366.94","36753.38","36753.38","33789.14"
"01/01/2025 02:15:00 - 01/01/2025 02:30:00","BZN|DE-LU","39495.85","36752.49","36752.49","33935.60"
"01/01/2025 02:30:00 - 01/01/2025 02:45:00","BZN|DE-LU","39628.53","36891.99","36891.99","33726.85"
"01/01/2025 02:45:00 - 01/01/2025 03:00:00","BZN|DE-LU","39571.24","36960.08","36960.08","33713.79"
"01/01/2025 03:00:00 - 01/01/2025 03:15:00","BZN|DE-LU","39540.40","36096.04","36096.04","32742.62"
"01/01/2025 03:15:00 - 01/01/2025 03:30:00","BZN|DE-LU","39409.57","35966.80","35966.80","32633.85"
"01/01/2025 03:30:00 - 01/01/2025 03:45:00","BZN|DE-LU","39461.28","35916.87","35916.87","32962.03"
"01/01/2025 03:45:00 - 01/01/2025 04:00:00","BZN|DE-LU","39496.75","35960.58","35960.58","33267.67"
"01/01/2025 04:00:00 - 01/01/2025 04:15:00","BZN|DE-LU","39592.51","36015.95","36015.95","33096.77"
"01/01/2025 04:15:00 - 01/01/2025 04:30:00","BZN|DE-LU","39746.36","36307.64","36307.64","32987.57"
"01/01/2025 04:30:00 - 01/01/2025 04:45:00","BZN|DE-LU","39887.60","36388.21","36388.21","33142.75"
"01/01/2025 04:45:00 - 01/01/2025 05:00:00","BZN|DE-LU","40029.32","36381.59","36381.59","33366.49"
"01/01/2025 05:00:00 - 01/01/2025 05:15:00","BZN|DE-LU","40155.78","36347.05","36347.05","33485.50"
"01/01/2025 05:15:00 - 01/01/2025 05:30:00","BZN|DE-LU","40266.59","36578.38","36578.38","33520.07"
"01/01/2025 05:30:00 - 01/01/2025 05:45:00","BZN|DE-LU","40390.99","36730.80","36730.80","33686.33"
"01/01/2025 05:45:00 - 01/01/2025 06:00:00","BZN|DE-LU","40505.15","36827.72","36827.72","33752.88"
"01/01/2025 06:00:00 - 01/01/2025 06:15:00","BZN|DE-LU","41544.07","37033.32","37033.32","35503.19"
"01/01/2025 06:15:00 - 01/01/2025 06:30:00","BZN|DE-LU","41596.91","37262.90","37262.90","35428.66"
"01/01/2025 06:30:00 - 01/01/2025 06:45:00","BZN|DE-LU","41674.10","37019.91","37017.67","35377.69"
"01/01/2025 06:45:00 - 01/01/2025 07:00:00","BZN|DE-LU","41691.57","37835.66","37833.41","35629.67"
"01/01/2025 07:00:00 - 01/01/2025 07:15:00","BZN|DE-LU","41689.04","37980.72","37978.36","36016.31"
"01/01/2025 07:15:00 - 01/01/2025 07:30:00","BZN|DE-LU","41642.18","37889.25","37898.90","36089.31"
"01/01/2025 07:30:00 - 01/01/2025 07:45:00","BZN|DE-LU","41645.09","38063.44","37755.82","36244.56"
"01/01/2025 07:45:00 - 01/01/2025 08:00:00","BZN|DE-LU","41668.65","38293.88","38295.83","36197.58"
"01/01/2025 08:00:00 - 01/01/2025 08:15:00","BZN|DE-LU","41693.10","38519.63","38291.03","35908.17"
"01/01/2025 08:15:00 - 01/01/2025 08:30:00","BZN|DE-LU","41752.47","38787.70","38223.51","35864.11"
"01/01/2025 08:30:00 - 01/01/2025 08:45:00","BZN|DE-LU","41807.66","38971.49","37981.17","35564.30"
"01/01/2025 08:45:00 - 01/01/2025 09:00:00","BZN|DE-LU","41868.13","39129.35","37847.86","35500.49"
"01/01/2025 09:00:00 - 01/01/2025 09:15:00","BZN|DE-LU","41937.71","39041.36","37416.12","34742.44"
"01/01/2025 09:15:00 - 01/01/2025 09:30:00","BZN|DE-LU","42058.06","39297.67","37503.99","34575.50"
"01/01/2025 09:30:00 - 01/01/2025 09:45:00","BZN|DE-LU","42169.29","39546.09","37241.29","34531.06"
"01/01/2025 09:45:00 - 01/01/2025 10:00:00","BZN|DE-LU","42271.37","39785.98","36903.77","34683.51"
"01/01/2025 10:00:00 - 01/01/2025 10:15:00","BZN|DE-LU","42304.49","40014.97","36806.74","35790.21"
"01/01/2025 10:15:00 - 01/01/2025 10:30:00","BZN|DE-LU","42215.31","40125.81","36625.25","36309.63"
"01/01/2025 10:30:00 - 01/01/2025 10:45:00","BZN|DE-LU","42269.91","40332.24","36614.71","36375.83"
"01/01/2025 10:45:00 - 01/01/2025 11:00:00","BZN|DE-LU","42322.96","40527.18","37263.91","36266.08"
"01/01/2025 11:00:00 - 01/01/2025 11:15:00","BZN|DE-LU","42387.39","40714.73","37769.42","36385.72"
